Lat,Lon,,
16.769,135.530,,
16.693,135.849,,
16.617,136.167,,
16.539,136.485,,
16.461,136.802,,
16.381,137.119,,
16.301,137.435,,
16.220,137.751,,
16.525,82.164,,
16.607,82.481,,
16.687,82.798,,
16.767,83.116,,
16.846,83.434,,
16.923,83.753,,
17.000,84.072,,
17.076,84.392,,
17.151,84.712,,
17.226,85.032,,
17.299,85.353,,
17.371,85.675,,
17.443,85.997,,
17.513,86.319,,
17.583,86.642,,
17.652,86.965,,
17.719,87.289,,
17.786,87.613,,
17.852,87.938,,
17.917,88.263,,
17.981,88.588,,
18.045,88.914,,
18.107,89.240,,
18.168,89.567,,
18.228,89.894,,
18.288,90.221,,
18.346,90.549,,
18.404,90.877,,
18.460,91.205,,
18.516,91.534,,
18.570,91.863,,
18.624,92.193,,
18.676,92.523,,
18.728,92.853,,
18.779,93.184,,
18.829,93.515,,
18.877,93.846,,
18.925,94.177,,
18.972,94.509,,
19.018,94.841,,
19.063,95.174,,
